year,column_name,total_count,count_not_nulls,survey_table_name
2021,ACT,6289,6289,InstitutionalCharacteristics_HD
2020,ACT,6440,6440,InstitutionalCharacteristics_HD
2019,ACT,6559,6559,InstitutionalCharacteristics_HD
2018,ACT,6857,6857,InstitutionalCharacteristics_HD
2017,ACT,7153,7153,InstitutionalCharacteristics_HD
2016,ACT,7521,7521,InstitutionalCharacteristics_HD
2015,ACT,7647,7647,InstitutionalCharacteristics_HD
2014,ACT,7687,7687,InstitutionalCharacteristics_HD
2013,ACT,7764,7764,InstitutionalCharacteristics_HD
2012,ACT,7735,7735,InstitutionalCharacteristics_HD
2011,ACT,7643,7643,InstitutionalCharacteristics_HD
2010,ACT,7503,7503,InstitutionalCharacteristics_HD
2009,ACT,7316,7316,InstitutionalCharacteristics_HD
2008,ACT,7126,7126,InstitutionalCharacteristics_HD
2007,ACT,7052,7052,InstitutionalCharacteristics_HD
2006,ACT,7052,7052,InstitutionalCharacteristics_HD
2005,ACT,7018,7018,InstitutionalCharacteristics_HD
2004,ACT,6916,6916,InstitutionalCharacteristics_HD
2021,ACT_label,6289,6289,InstitutionalCharacteristics_HD
2020,ACT_label,6440,6440,InstitutionalCharacteristics_HD
2019,ACT_label,6559,6559,InstitutionalCharacteristics_HD
2018,ACT_label,6857,6857,InstitutionalCharacteristics_HD
2017,ACT_label,7153,7153,InstitutionalCharacteristics_HD
2016,ACT_label,7521,7521,InstitutionalCharacteristics_HD
2015,ACT_label,7647,7647,InstitutionalCharacteristics_HD
2014,ACT_label,7687,7687,InstitutionalCharacteristics_HD
2013,ACT_label,7764,7764,InstitutionalCharacteristics_HD
2012,ACT_label,7735,7735,InstitutionalCharacteristics_HD
2011,ACT_label,7643,7643,InstitutionalCharacteristics_HD
2010,ACT_label,7503,7503,InstitutionalCharacteristics_HD
2009,ACT_label,7316,7316,InstitutionalCharacteristics_HD
2008,ACT_label,7126,7126,InstitutionalCharacteristics_HD
2007,ACT_label,7052,7052,InstitutionalCharacteristics_HD
2006,ACT_label,7052,7052,InstitutionalCharacteristics_HD
2005,ACT_label,7018,7018,InstitutionalCharacteristics_HD
2004,ACT_label,6916,6916,InstitutionalCharacteristics_HD
2021,ADDR,6289,6289,InstitutionalCharacteristics_HD
2020,ADDR,6440,6440,InstitutionalCharacteristics_HD
